Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
158,From Dusk Till Dawn,Robert Rodriguez,Robert Rodriguez,,108 min,1996,7.2,48
159,The Other Guys,Adam McKay,Adam McKay,,107 min,2010,6.6,64
160,Tropic Thunder,Ben Stiller,Ben Stiller,,107 min,2008,7.1,71
161,Divergent,Neil Burger,Neil Burger,,139 min,2014,6.6,48
162,Ready Player One,Steven Spielberg,Steven Spielberg,,140 min,2018,7.4,64
163,Thor: The Dark World,Alan Taylor,Alan Taylor,,112 min,2013,6.8,54
164,World War Z,Marc Forster,Marc Forster,,116 min,2013,7.0,63
165,Scott Pilgrim vs. the World,Edgar Wright,Edgar Wright,,112 min,2010,7.5,69
166,Kill Bill: Vol. 1,Quentin Tarantino,Quentin Tarantino,,111 min,2003,8.2,69
167,The Nice Guys,Shane Black,Shane Black,,116 min,2016,7.3,70
168,Batman Begins,Christopher Nolan,Christopher Nolan,,140 min,2005,8.2,70
169,The Forever Purge,Everardo Gout,Everardo Gout,,103 min,2021,5.4,53
170,Harry Potter and the Order of the Phoenix,David Yates,David Yates,,138 min,2007,7.5,71
171,Dawn of the Dead,Zack Snyder,Zack Snyder,,101 min,2004,7.3,59
172,Dunkirk,Christopher Nolan,Christopher Nolan,,106 min,2017,7.8,94
173,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Irvin Kershner,,124 min,1980,8.7,82
174,The Tomorrow War,Chris McKay,Chris McKay,,138 min,2021,6.5,45
175,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Christopher McQuarrie,,131 min,2015,7.4,75
176,Fury,David Ayer,David Ayer,,134 min,2014,7.5,64
177,The Equalizer,Antoine Fuqua,Antoine Fuqua,,132 min,2014,7.2,57
178,Black Panther,Ryan Coogler,Ryan Coogler,,134 min,2018,7.3,88
179,Escape Room (I),Adam Robitel,Adam Robitel,,99 min,2019,6.4,48
180,Mad Max,George Miller,George Miller,,88 min,1979,6.8,73
181,Watchmen,Zack Snyder,Zack Snyder,,162 min,2009,7.6,56
182,Speed,Jan de Bont,Jan de Bont,,116 min,1994,7.3,78
183,Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg",Joachim Rønning,Espen Sandberg,129 min,2017,6.5,39
184,Transformers: The Last Knight,Michael Bay,Michael Bay,,154 min,2017,5.2,27
185,Homefront (I),Gary Fleder,Gary Fleder,,100 min,2013,6.5,40
186,Willow,Ron Howard,Ron Howard,,126 min,1988,7.2,47
187,Black Widow,Cate Shortland,Cate Shortland,,134 min,2021,6.7,68
188,Harry Potter and the Half-Blood Prince,David Yates,David Yates,,153 min,2009,7.6,78
189,Prey (I),Dan Trachtenberg,Dan Trachtenberg,,100 min,2022,7.1,71
190,Captain Marvel,"Anna Boden, Ryan Fleck",Anna Boden,Ryan Fleck,123 min,2019,6.8,64
191,Captain America: The First Avenger,Joe Johnston,Joe Johnston,,124 min,2011,6.9,66
192,Avengers: Age of Ultron,Joss Whedon,Joss Whedon,,141 min,2015,7.3,66
193,Star Wars: Episode II - Attack of the Clones,George Lucas,George Lucas,,142 min,2002,6.6,54
194,The Hunger Games: Catching Fire,Francis Lawrence,Francis Lawrence,,146 min,2013,7.5,76
195,Jumanji: The Next Level,Jake Kasdan,Jake Kasdan,,123 min,2019,6.7,58
196,Pokémon: Detective Pikachu,Rob Letterman,Rob Letterman,,104 min,2019,6.5,53
197,Edge of Tomorrow,Doug Liman,Doug Liman,,113 min,2014,7.9,71
198,Terminator: Dark Fate,Tim Miller,Tim Miller,,128 min,2019,6.2,54
199,Men in Black 3,Barry Sonnenfeld,Barry Sonnenfeld,,106 min,2012,6.8,58
200,Spider-Man 3,Sam Raimi,Sam Raimi,,139 min,2007,6.3,59
201,Logan,James Mangold,James Mangold,,137 min,2017,8.1,77
202,The Incredibles,Brad Bird,Brad Bird,,115 min,2004,8.0,90
203,The Mask,Chuck Russell,Chuck Russell,,101 min,1994,6.9,56
204,San Andreas,Brad Peyton,Brad Peyton,,114 min,2015,6.1,43
205,Red Sparrow,Francis Lawrence,Francis Lawrence,,140 min,2018,6.6,53
206,Moonfall,Roland Emmerich,Roland Emmerich,,130 min,2022,5.1,41
207,Ghostbusters,Ivan Reitman,Ivan Reitman,,105 min,1984,7.8,71
208,Mission: Impossible - Ghost Protocol,Brad Bird,Brad Bird,,132 min,2011,7.4,73
209,Casino Royale,Martin Campbell,Martin Campbell,,144 min,2006,8.0,80
210,The Revenant (I),Alejandro G. Iñárritu,Alejandro G. Iñárritu,,156 min,2015,8.0,76
211,Strange World,"Don Hall, Qui Nguyen",Don Hall,Qui Nguyen,102 min,2022,5.6,65
212,Mission: Impossible III,J.J. Abrams,J.J. Abrams,,126 min,2006,6.9,66
213,The School for Good and Evil,Paul Feig,Paul Feig,,147 min,2022,5.8,30
214,Violent Night,Tommy Wirkola,Tommy Wirkola,,112 min,2022,6.7,55
215,The Lost City,"Aaron Nee, Adam Nee",Aaron Nee,Adam Nee,112 min,2022,6.1,60
216,Man of Steel,Zack Snyder,Zack Snyder,,143 min,2013,7.1,55
217,Solo: A Star Wars Story,Ron Howard,Ron Howard,,135 min,2018,6.9,62
218,Beverly Hills Cop,Martin Brest,Martin Brest,,105 min,1984,7.3,66
219,Thunderball,Terence Young,Terence Young,,130 min,1965,6.9,64
220,Red Notice,Rawson Marshall Thurber,Rawson Marshall Thurber,,118 min,2021,6.3,37
221,In Time,Andrew Niccol,Andrew Niccol,,109 min,2011,6.7,53
222,The Last Duel,Ridley Scott,Ridley Scott,,152 min,2021,7.4,67
223,Pearl Harbor,Michael Bay,Michael Bay,,183 min,2001,6.2,44
